region,region_id,reference_number_code,code,eik,id,title,api_client_id,api_secret_key
Средец,1,РСЦ,522,0006963270461,b776f6ae-e43f-4267-a20e-e490b8d9dcbd,Районна администрация - Средец,testAisClient,8F70C29ACBB38F39B0900C26B3A20B0683E62C97A4E578358904686D0023988D0C9873AD23EE87003B36EE5221617FEC0345E3B1138FE1B57EF5DE4771E3CF42
Красно село,2,РКС,523,0006963270526,5fc55943-b9e7-4fd0-978b-756bf5f460aa,Районна администрация - Красно село,testAisClient,8F70C29ACBB38F39B0900C26B3A20B0683E62C97A4E578358904686D0023988D0C9873AD23EE87003B36EE5221617FEC0345E3B1138FE1B57EF5DE4771E3CF43
Възраждане,3,РВЕ,524,0006963270480,63480615-8bfd-4b98-8811-ba2ff8e47720,Районна администрация - Възраждане,testAisClient,8F70C29ACBB38F39B0900C26B3A20B0683E62C97A4E578358904686D0023988D0C9873AD23EE87003B36EE5221617FEC0345E3B1138FE1B57EF5DE4771E3CF44
Оборище,4,РОБ,525,0006963270511,d9e5bf6a-f947-4180-a359-7b3a6673fb2d,Районна администрация - Оборище,testAisClient,8F70C29ACBB38F39B0900C26B3A20B0683E62C97A4E578358904686D0023988D0C9873AD23EE87003B36EE5221617FEC0345E3B1138FE1B57EF5DE4771E3CF45
Сердика,5,РСР,526,0006963270476,32094c2e-6090-4593-91fe-73fb1800495c,Районна администрация - Сердика,testAisClient,8F70C29ACBB38F39B0900C26B3A20B0683E62C97A4E578358904686D0023988D0C9873AD23EE87003B36EE5221617FEC0345E3B1138FE1B57EF5DE4771E3CF46
Подуяне,6,РПД,527,0006963270530,ae688df5-8f0b-461d-82cc-855ec29eae29,Районна администрация - Подуяне,testAisClient,8F70C29ACBB38F39B0900C26B3A20B0683E62C97A4E578358904686D0023988D0C9873AD23EE87003B36EE5221617FEC0345E3B1138FE1B57EF5DE4771E3CF47
Слатина,7,РСЛ,528,0006963270545,958bd74f-15ef-4546-ba30-3d63f4523871,Районна администрация - Слатина,testAisClient,8F70C29ACBB38F39B0900C26B3A20B0683E62C97A4E578358904686D0023988D0C9873AD23EE87003B36EE5221617FEC0345E3B1138FE1B57EF5DE4771E3CF48
Изгрев,8,РИВ,529,0006963270550,5a4ab6ad-969d-4aa4-844b-b36505d29ef3,Районна администрация - Изгрев,testAisClient,8F70C29ACBB38F39B0900C26B3A20B0683E62C97A4E578358904686D0023988D0C9873AD23EE87003B36EE5221617FEC0345E3B1138FE1B57EF5DE4771E3CF49
Лозенец,9,РЛЦ,530,0006963270564,0ba20c11-f346-4a6d-abae-e315db607132,Районна администрация - Лозенец,testAisClient,8F70C29ACBB38F39B0900C26B3A20B0683E62C97A4E578358904686D0023988D0C9873AD23EE87003B36EE5221617FEC0345E3B1138FE1B57EF5DE4771E3CF50
Триадица,10,РТР,531,0006963270507,84484d6f-731e-46b8-baaa-b432fd80b363,Районна администрация - Триадица,testAisClient,8F70C29ACBB38F39B0900C26B3A20B0683E62C97A4E578358904686D0023988D0C9873AD23EE87003B36EE5221617FEC0345E3B1138FE1B57EF5DE4771E3CF51
Красна поляна,11,РКП,532,0006963270579,c6b1fdfe-bdd3-44dd-b01a-26a2e909b866,Районна администрация - Красна поляна,testAisClient,8F70C29ACBB38F39B0900C26B3A20B0683E62C97A4E578358904686D0023988D0C9873AD23EE87003B36EE5221617FEC0345E3B1138FE1B57EF5DE4771E3CF52
Илинден,12,РИЛ,533,0006963270583,676e3f8b-b8db-4ba2-8411-c5d6902b5347,Районна администрация - Илинден,testAisClient,8F70C29ACBB38F39B0900C26B3A20B0683E62C97A4E578358904686D0023988D0C9873AD23EE87003B36EE5221617FEC0345E3B1138FE1B57EF5DE4771E3CF53
Надежда,13,РНД,534,0006963270598,39ba0a95-ba1d-4d1d-b288-75184a2e928e,Районна администрация - Надежда,testAisClient,8F70C29ACBB38F39B0900C26B3A20B0683E62C97A4E578358904686D0023988D0C9873AD23EE87003B36EE5221617FEC0345E3B1138FE1B57EF5DE4771E3CF54
Искър,14,РИС,535,0006963270603,e14489f6-fa78-4f75-bc83-6c82bd3d8bba,Районна администрация - Искър,testAisClient,8F70C29ACBB38F39B0900C26B3A20B0683E62C97A4E578358904686D0023988D0C9873AD23EE87003B36EE5221617FEC0345E3B1138FE1B57EF5DE4771E3CF55
Младост,15,РМЛ,536,0006963270614,514a1c66-0465-4a5f-a522-1f6f8a7b473e,Районна администрация - Младост,testAisClient,8F70C29ACBB38F39B0900C26B3A20B0683E62C97A4E578358904686D0023988D0C9873AD23EE87003B36EE5221617FEC0345E3B1138FE1B57EF5DE4771E3CF56
Студентски,16,РСТ ,537,0006963270629,c80290e5-b5d5-4106-923d-5fad7c54f252,Районна администрация - Студентски,epayments_ais_client_99c19d9f-6c38-4cae-8af3-f738bea88d2f,XDCYQG1WJDW2P2YFVDNPLZ5GREFARWT3
Витоша,17,РВТ,538,0006963270633,9ae3f943-e3c1-42eb-b3b1-dc1ef10cfd50,Районна администрация - Витоша,epayments_ais_client_6b45ba5c-3571-4897-b648-e0d19253a38c,EV2MIQBSMLEDRPQLQL16PX8UBMMPLJDQ
Овча купел,18,РОК,539,0006963270648,c13a9d40-2892-4b33-8d52-b7d998fb5492,Районна администрация - Овча купел,testAisClient,8F70C29ACBB38F39B0900C26B3A20B0683E62C97A4E578358904686D0023988D0C9873AD23EE87003B36EE5221617FEC0345E3B1138FE1B57EF5DE4771E3CF59
Люлин,19,РЛН,540,0006963270652,2e92a59f-90b0-4f3a-b80d-8710bb9284d9,Районна администрация - Люлин,testAisClient,8F70C29ACBB38F39B0900C26B3A20B0683E62C97A4E578358904686D0023988D0C9873AD23EE87003B36EE5221617FEC0345E3B1138FE1B57EF5DE4771E3CF60
Връбница,20,РВР,541,0006963270667,0aeda2b9-4ad3-47a5-b3e5-29c13bf82333,Районна администрация - Връбница,testAisClient,8F70C29ACBB38F39B0900C26B3A20B0683E62C97A4E578358904686D0023988D0C9873AD23EE87003B36EE5221617FEC0345E3B1138FE1B57EF5DE4771E3CF61
Нови Искър,21,РНИ,542,0006963270671,405590af-b287-4803-8a77-ce89ea21cd9e,Районна администрация - Нови Искър,testAisClient,8F70C29ACBB38F39B0900C26B3A20B0683E62C97A4E578358904686D0023988D0C9873AD23EE87003B36EE5221617FEC0345E3B1138FE1B57EF5DE4771E3CF62
Кремиковци,22,РКР,543,0006963270686,e306fe5f-34a7-4955-97c7-bc725bf865fc,Районна администрация - Кремиковци,testAisClient,8F70C29ACBB38F39B0900C26B3A20B0683E62C97A4E578358904686D0023988D0C9873AD23EE87003B36EE5221617FEC0345E3B1138FE1B57EF5DE4771E3CF63
Панчарево,23,РПН,544,0006963270690,4faefb19-e75b-4308-9e57-5e887fbf1181,Районна администрация - Панчарево,testAisClient,8F70C29ACBB38F39B0900C26B3A20B0683E62C97A4E578358904686D0023988D0C9873AD23EE87003B36EE5221617FEC0345E3B1138FE1B57EF5DE4771E3CF64
Банкя,24,РБН,545,0006963270495,424c725b-a4d8-483d-bf94-6f38bfe85a75,Районна администрация - Банкя,testAisClient,8F70C29ACBB38F39B0900C26B3A20B0683E62C97A4E578358904686D0023988D0C9873AD23EE87003B36EE5221617FEC0345E3B1138FE1B57EF5DE4771E3CF65
